Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (XLI), Experimental  Coincident Index (XCI),
Experimental Coincident Recession Index (XRIC)
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Leading Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  7/08/03

     date          XRI        XLI       XCI       XRI-C     XLI-2     XRI-2
     1992:05       0.02       2.4      175.0       0.01     1.2       0.24 
     1992:06       0.02       2.6      175.2       0.03     1.8       0.21 
     1992:07       0.02       3.5      175.9       0.01     2.2       0.19 
     1992:08       0.03       3.3      175.2       0.12     0.2       0.29 
     1992:09       0.01       4.3      175.8       0.03     2.5       0.22 
     1992:10       0.01       3.9      176.5       0.01     2.5       0.22 
     1992:11       0.01       2.8      177.2       0.01     1.8       0.24 
     1992:12       0.01       3.3      179.1       0.01     4.1       0.17 
     1993:01       0.01       3.4      178.2       0.14     2.5       0.20 
     1993:02       0.01       3.8      178.5       0.08     2.2       0.21 
     1993:03       0.04       2.2      178.2       0.16     1.0       0.27 
     1993:04       0.04       2.5      179.3       0.02     0.9       0.24 
     1993:05       0.04       2.9      179.6       0.03     1.1       0.24 
     1993:06       0.03       3.2      180.2       0.02     2.8       0.20 
     1993:07       0.02       3.7      180.3       0.03     2.8       0.19 
     1993:08       0.02       3.8      180.3       0.05     3.2       0.16 
     1993:09       0.02       4.1      181.2       0.01     4.6       0.13 
     1993:10       0.01       4.3      182.0       0.01     3.9       0.14 
     1993:11       0.01       4.5      182.8       0.01     4.7       0.13 
     1993:12       0.01       5.4      184.6       0.01     5.4       0.11 
     1994:01       0.01       4.7      183.7       0.13     2.5       0.18 
     1994:02       0.01       4.9      183.9       0.06     1.2       0.25 
     1994:03       0.02       5.2      185.8       0.01     3.2       0.16 
     1994:04       0.04       4.4      187.0       0.01     4.4       0.12 
     1994:05       0.08       3.2      188.0       0.01     4.1       0.13 
     1994:06       0.08       2.9      188.6       0.01     3.7       0.14 
