Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  8/28/00

     date         XRI       XLI       XCI      XLI-2     XRI-2
     1984:02       0.01       9.0      151.3     6.7       0.05 
     1984:03       0.01       7.4      152.1     5.0       0.11 
     1984:04       0.01       6.1      153.2     3.9       0.10 
     1984:05       0.02       4.9      153.7     4.1       0.11 
     1984:06       0.01       4.5      154.5     4.2       0.09 
     1984:07       0.01       3.4      154.9     2.1       0.18 
     1984:08       0.01       2.4      155.4     1.2       0.19 
     1984:09       0.01       2.9      155.6     0.7       0.19 
     1984:10       0.01       2.7      155.2     1.0       0.17 
     1984:11       0.01       5.4      155.8     3.8       0.08 
     1984:12       0.01       6.2      156.0     3.7       0.09 
     1985:01       0.01       6.6      156.3     4.9       0.09 
     1985:02       0.01       6.6      156.7     3.7       0.10 
     1985:03       0.01       5.4      157.3     3.5       0.08 
     1985:04       0.01       5.4      157.4     3.5       0.08 
     1985:05       0.01       5.1      158.1     3.7       0.07 
     1985:06       0.01       5.8      157.9     4.0       0.07 
     1985:07       0.01       5.7      157.7     4.0       0.07 
     1985:08       0.01       5.4      158.6     5.3       0.05 
     1985:09       0.01       6.5      159.2     6.6       0.04 
     1985:10       0.02       4.7      159.2     4.1       0.06 
     1985:11       0.03       3.7      159.6     2.9       0.08 
     1985:12       0.02       4.5      160.1     4.3       0.05 
     1986:01       0.02       4.9      160.7     5.3       0.04 
     1986:02       0.05       3.4      160.3     4.2       0.06 
     1986:03       0.03       3.9      160.2     4.2       0.06 
     1986:04       0.02       4.5      161.4     5.7       0.05 
     1986:05       0.10       2.4      161.0     3.7       0.07 
     1986:06       0.20       1.6      160.8     3.2       0.07 
     1986:07       0.08       2.8      161.0     4.0       0.07 
     1986:08       0.03       3.8      161.5     3.5       0.08 
     1986:09       0.03       3.2      162.3     3.5       0.08 
     1986:10       0.04       2.5      162.7     3.9       0.09 
     1986:11       0.07       1.8      163.0     3.0       0.11 
     1986:12       0.02       4.4      164.1     6.6       0.04 
     1987:01       0.05       3.3      163.4     2.5       0.11 
     1987:02       0.08       3.0      165.2     2.8       0.09 
     1987:03       0.10       2.4      165.7     3.7       0.08 
     1987:04       0.28       0.9      165.4     4.0       0.09 
     1987:05       0.31       0.3      166.2     3.2       0.11 
     1987:06       0.09       1.3      167.1     4.3       0.11 
     1987:07       0.04       2.0      168.0     3.9       0.13 
     1987:08       0.09       0.9      168.4     2.9       0.14 
     1987:09       0.35      -0.6      168.1     3.4       0.13 
     1987:10       0.26      -0.2      169.6     2.6       0.15 
     1987:11       0.33      -0.6      170.2     2.3       0.15 
     1987:12       0.12       0.6      171.4     2.5       0.16 
     1988:01       0.10       0.3      171.3     0.2       0.25 
     1988:02       0.02       2.2      172.3     3.3       0.13 
     1988:03       0.02       3.0      173.0     4.4       0.09 
     1988:04       0.03       2.8      173.9     3.8       0.13 
     1988:05       0.04       2.8      173.9     2.3       0.15 
     1988:06       0.03       2.9      174.3     4.1       0.14 
     1988:07       0.06       1.6      174.9     2.3       0.17 
     1988:08       0.06       1.3      175.2     2.5       0.16 
     1988:09       0.06       1.7      175.3     2.2       0.15 
     1988:10       0.04       2.7      176.3     2.5       0.11 
     1988:11       0.08       3.1      176.8     3.7       0.09 
     1988:12       0.09       2.7      178.0     4.0       0.09 
     1989:01       0.08       2.6      178.7     4.0       0.11 
     1989:02       0.12       0.8      178.1     2.3       0.17 
     1989:03       0.13       0.3      178.5     0.5       0.25 
     1989:04       0.04       1.9      179.1     1.3       0.16 
     1989:05       0.04       2.5      178.4     3.1       0.13 
     1989:06       0.04       2.2      178.0     1.4       0.17 
     1989:07       0.10       1.8      177.2     0.4       0.23 
     1989:08       0.12       1.5      178.0     2.5       0.12 
     1989:09       0.14       1.1      178.0     2.5       0.12 
     1989:10       0.10       1.9      177.8     2.7       0.11 
     1989:11       0.07       2.7      178.9     4.1       0.09 
     1989:12       0.03       4.1      179.2     4.2       0.07 
     1990:01       0.01       6.3      178.9     7.7       0.03 
     1990:02       0.07       3.7      179.8     3.7       0.13 
     1990:03       0.11       0.9      180.4    -0.6       0.25 
     1990:04       0.17      -0.1      179.4    -1.8       0.33 
     1990:05       0.15       0.1      180.1     0.1       0.25 
     1990:06       0.09       1.1      180.5     0.2       0.21 
     1990:07       0.07       2.1      180.6     1.3       0.16 
     1990:08       0.12       1.9      180.6     2.1       0.15 
     1990:09       0.30       0.5      180.0     0.0       0.23 
     1990:10       0.40      -0.3      178.7    -0.3       0.27 
     1990:11       0.44      -0.5      177.3    -0.9       0.32 
     1990:12       0.34      -0.6      176.8    -1.4       0.41 
     1991:01       0.33      -1.0      175.4    -1.4       0.42 
     1991:02       0.24      -0.5      174.9    -0.3       0.34 
     1991:03       0.17       0.2      174.3     0.7       0.30 
     1991:04       0.10       0.3      174.9     1.6       0.24 
     1991:05       0.06       1.2      175.6     2.1       0.20 
     1991:06       0.04       1.6      176.5     1.3       0.22 
     1991:07       0.03       2.3      176.7     2.8       0.19 
     1991:08       0.02       2.6      176.9     1.3       0.21 
     1991:09       0.02       2.4      177.6     1.5       0.19 
     1991:10       0.04       1.9      177.3     1.6       0.18 
     1991:11       0.06       2.0      177.2     0.3       0.23 
     1991:12       0.02       3.8      176.6     1.9       0.18 
     1992:01       0.01       4.6      177.0     3.0       0.15 
     1992:02       0.01       4.4      177.7     3.0       0.14 
     1992:03       0.01       2.8      178.3     2.7       0.18 
     1992:04       0.01       2.8      179.2     2.9       0.17 
     1992:05       0.02       2.4      179.4     1.3       0.19 
     1992:06       0.01       2.6      179.6     2.2       0.16 
     1992:07       0.01       3.5      180.2     2.6       0.15 
     1992:08       0.01       3.2      179.5     0.6       0.21 
     1992:09       0.01       4.3      180.3     2.8       0.15 
     1992:10       0.01       3.6      181.0     2.4       0.17 
     1992:11       0.01       2.6      181.5     1.9       0.20 
     1992:12       0.01       2.8      182.2     3.6       0.15 
     1993:01       0.01       3.6      183.0     3.2       0.15 
     1993:02       0.01       3.4      183.5     2.4       0.17 
     1993:03       0.02       1.8      183.1     1.0       0.21 
     1993:04       0.02       2.4      183.8     0.9       0.19 
     1993:05       0.03       2.9      183.9     1.3       0.18 
     1993:06       0.02       3.3      184.6     3.2       0.14 
     1993:07       0.01       3.7      184.5     3.0       0.13 
     1993:08       0.01       3.8      184.6     3.4       0.12 
