"","FirstDate","inflation_punew","inflation_puxhs","inflation_puxx","inflation_pce","quarter"
"176",1991-01-01,0.00911860421643434,0.00911860421643434,0.013713675762177,0.00522596472906647,"1991-Q1"
"177",1991-04-01,0.00151171608532216,0.00151171608532216,0.00998581764321426,0.00542633832407118,"1991-Q2"
"178",1991-07-01,0.0082738343373964,0.0082738343373964,0.00988708619117215,0.00675388241677172,"1991-Q3"
"179",1991-10-01,0.00671895024874501,0.00671895024874501,0.00979028798917232,0.00722152538047155,"1991-Q4"
"180",1992-01-01,0.00667410708769322,0.00667410708769322,0.00969536680516299,0.00623054975063616,"1992-Q1"
"181",1992-04-01,0.0080972102326193,0.0080972102326193,0.00823614813593658,0.00661922938708472,"1992-Q2"
"182",1992-07-01,0.00803217169726425,0.00803217169726425,0.0088466041402934,0.00635563617760996,"1992-Q3"
"183",1992-10-01,0.00868941021415989,0.00868941021415989,0.00809721023261952,0.00695578691202691,"1992-Q4"
"184",1993-01-01,0.00718393894213034,0.00718393894213034,0.00869861624042461,0.00594600553297951,"1993-Q1"
"185",1993-04-01,0.00713269785742729,0.00713269785742729,0.00862360236393219,0.0066973685241484,"1993-Q2"
"186",1993-07-01,0.00425532557013849,0.00425532557013849,0.00592691889776777,0.00433780098735597,"1993-Q3"
"187",1993-10-01,0.00845671001822346,0.00845671001822346,0.0071966290320397,0.00575461879769736,"1993-Q4"
"188",1994-01-01,0.00420168685369998,0.00420168685369998,0.00714520740464424,0.00356468600003306,"1994-Q1"
"189",1994-04-01,0.00487975872454121,0.00487975872454121,0.0064516352814886,0.00556530032442254,"1994-Q2"
"190",1994-07-01,0.00899971460319568,0.00899971460319568,0.00768741774268615,0.00715736380751421,"1994-Q3"
"191",1994-10-01,0.00549829563859788,0.00549829563859788,0.00699525904979877,0.00468847989214352,"1994-Q4"
"192",1995-01-01,0.00751113124999627,0.00751113124999627,0.0075757938084575,0.00488969370177787,"1995-Q1"
"193",1995-04-01,0.00813012608325009,0.00813012608325009,0.00876649321218259,0.00579780537034506,"1995-Q2"
"194",1995-07-01,0.00404040953700513,0.00404040953700513,0.00621506040343419,0.00408714889450954,"1995-Q3"
"195",1995-10-01,0.00536194314138537,0.00536194314138537,0.00802225838914363,0.00437843223096101,"1995-Q4"
"196",1996-01-01,0.00666224982541625,0.00666224982541625,0.00612747015209707,0.00554099035357198,"1996-Q1"
"197",1996-04-01,0.00991088389945396,0.00991088389945396,0.00548280386588017,0.00666974289715669,"1996-Q2"
"198",1996-07-01,0.00459167746717312,0.00459167746717312,0.00666063618954786,0.00424886830400275,"1996-Q3"
"199",1996-10-01,0.0084718655936499,0.0084718655936499,0.00661656549212925,0.00679810317279876,"1996-Q4"
"200",1997-01-01,0.00775698782857138,0.00775698782857138,0.00597730410845938,0.00441621709746973,"1997-Q1"
"201",1997-04-01,0.00128700146464746,0.00128700146464746,0.00653402978064853,0.00250669532499165,"1997-Q2"
"202",1997-07-01,0.00128534722066372,0.00128534722066372,0.00472534842642607,0.00262812240626963,"1997-Q3"
"203",1997-10-01,0.00640207052202241,0.00640207052202241,0.00528946281739814,0.00314465667947156,"1997-Q4"
"204",1998-01-01,0.000637958554332576,0.000637958554332576,0.00584455199628323,8.4853627543459e-05,"1998-Q1"
"205",1998-04-01,-0.0012763243596049,-0.0012763243596049,0.0052310494175525,0.00179438138472903,"1998-Q2"
"206",1998-07-01,0.0050955524266001,0.0050955524266001,0.00578036291549933,0.00307263205278037,"1998-Q3"
"207",1998-10-01,0.00190415798568979,0.00190415798568979,0.00517391208796546,0.00262819628033902,"1998-Q4"
"208",1999-01-01,0.00506009934834277,0.00506009934834277,0.00685716972613705,0.0019491133500982,"1999-Q1"
