"","FirstDate","quarter","group","punew_year","puxhs_year","puxx_year","pce_year"
"124",1983-01-01,1983 Q1,1983,0.0364054763850098,0.0405250257210085,0.0450573855657486,0.0443024571128486
"125",1983-04-01,1983 Q2,1983,0.0392207131532815,0.0444058499425574,0.0403572614165572,0.0438473479749728
"126",1983-07-01,1983 Q3,1983,0.0233158053136168,0.0325231917055601,0.0315547808581698,0.0412902191063433
"127",1983-10-01,1983 Q4,1983,0.0271509890659508,0.0332189577925223,0.0352681388374581,0.0369682897066648
"128",1984-01-01,1984 Q1,1984,0.0420061756341549,0.0399254624091838,0.0489853051594162,0.0395829475831487
"129",1984-04-01,1984 Q2,1984,0.0445397713717706,0.0425175259910029,0.0504308536268919,0.040163835022645
"130",1984-07-01,1984 Q3,1984,0.0421837923035049,0.0392207131532814,0.0507921668401052,0.0347941180189738
"131",1984-10-01,1984 Q4,1984,0.0417739222456374,0.0388398333162639,0.0502035919665793,0.0343439348035851
"132",1985-01-01,1985 Q1,1985,0.0346521677055723,0.0317792751465171,0.0439001788752404,0.03523335650961
"133",1985-04-01,1985 Q2,1985,0.0351914583363133,0.032383782182115,0.0443259737700646,0.033639202266189
"134",1985-07-01,1985 Q3,1985,0.0339976085414197,0.0293720783123304,0.0410505398303577,0.0337631698251309
"135",1985-10-01,1985 Q4,1985,0.0318378950976087,0.0244602975701607,0.039691412149969,0.0345460616067362
"136",1986-01-01,1986 Q1,1986,0.0389659685333837,0.0317190770227938,0.0438426378641764,0.0299479540425009
"137",1986-04-01,1986 Q2,1986,0.0157629596652577,0.00280767615419844,0.0406743821500702,0.0208268617116971
"138",1986-07-01,1986 Q3,1986,0.0165749650942127,0.00558660670863987,0.0394316317043495,0.0182696632062035
"139",1986-10-01,1986 Q4,1986,0.0155467237383,0.00463607691747852,0.0399166074054424,0.0173495594131833
"140",1987-01-01,1987 Q1,1987,0.0135564660836081,0.00549451931764063,0.0351221350278265,0.0196512662178925
"141",1987-04-01,1987 Q2,1987,0.036137626918567,0.0348979398512773,0.0382322845038133,0.0302872015568463
